OGLE-2015-BLG-0051L b,Confirmed,0.72,0.07,0.65,,,,,,,,,,0.73,0.08,0.08,,,,,,,,2016,25/07/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,KMT-2015-BLG-0048Lb,,OGLE-2015-BLG-0051,269.6625417,-28.03169446,16.4,,,,,8200,900,900,,,,0.1,0.01,0.09,,,,G,,,,,,,,,KMT-2015-BLG-0048
OGLE-2015-BLG-0954L b,Confirmed,4.4,1.6,1.6,,,,,,,,,,1.2,,,,,,,,,,2016,02/03/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2015-BLG-0954L,270.1833333,-28.66083336,,,,,,600,200,400,,,,0.37,0.14,0.14,,,,,,,,,,,,,
OGLE-2015-BLG-0966L b,Confirmed,0.066,0.006,0.006,,,,,,,,,,2.4,0.3,0.3,,,,,,,,2015,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2015-BLG-0966L,268.7541667,-29.04722223,,,,,,2900,400,400,,,,0.38,0.04,0.04,,,,M,,,,,,,,,
OGLE-2015-BLG-1319L b,Confirmed,45,8,8,,,,,,,,,,0.245,0.07,0.07,,,,,,,,2016,28/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2015-BLG-1319L,269.4416667,-32.47222224,,,,,,5000,,,,,,0.58,0.05,0.05,,,,K,,,,,,,,,
OGLE-2016-BLG-0613LAB b,Confirmed,4.18,2.43,3.19,,,,,,,,,,6.4,2.63,2.51,,,,,,,,2017,02/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2016-BLG-0613LAB,269.2625,-28.11611113,,,,,,3410,142,134,,,,1,0.5,0.7,,,,,,,,,,,,,
OGLE-2016-BLG-0693L b,Confirmed,49,18,20,,,,,,,,,,5,,,,,,,,,,2017,19/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2016-BLG-0693,267.480375,-23.03994445,,,,,,5000,600,600,,,,,,,,,,K,,,,,,,,,
OGLE-2016-BLG-1067L b,Confirmed,0.43,0.17,0.21,,,,,,,,,,1.7,0.39,0.38,,,,,,,,2018,21/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,MOA-2016-BLG-339 b,, OGLE-2016-BLG-1067L,273.2045,-27.0126389,,,,,,3730,670,660,,,,0.3,0.12,0.15,,,,M,,,,,,,,,MOA-2016-BLG-339
OGLE-2016-BLG-1112L b,Confirmed,31.7,8.2,8.2,,,,,,,,,,9.63,1.33,1.33,,,,,,,,2017,19/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2014-BLG-1112,272.1512917,-28.66580558,,,,,,4840,670,670,,,,1.07,0.28,0.28,,,,,,,,,,,,,
OGLE-2016-BLG-1190L b,Confirmed,13.38,0.82,0.88,,,,,,,1223.6,300,1896,2.17,0.38,1.87,0.42,0.23,0.13,41.2,10.3,12,,2017,30/10/2017,,,,2456989.8,434,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2016-BLG-1190L,269.7208334,-27.61361113,,,,,,6770,90,90,,,,0.88,0.06,0.06,,,,,,,,,,,,,
OGLE-2016-BLG-1195L b,Confirmed,0.0045,0.001,0.0014,,,,,,,,,,1.16,0.16,0.13,,,,,,,,2017,11/05/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-BLG-1195L,268.85,-30.20722223,,,,,,3910,460,420,,,,0.078,0.012,0.016,,,,,,,,,,,,,
OGLE-2016-BLG-1266 b,Confirmed,11.9,0.8,0.8,,,,,,,,,,0.42,0.03,0.03,,,,,,,,2018,15/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2016-BLG-1266,267.8541667,-29.74222224,,,,,,3050,,,,,,0.0156,,,,,,,,,,,,,,,
